,Suburb,Walk Score,Population
195,Mornington,54,"22,477"
196,Briar Hill,54,"3,072"
197,Carrum,54,"3,589"
198,Doveton,53,"8,433"
199,Carrum Downs,53,"19,122"
200,Albion,53,"4,322"
201,Clayton South,53,"11,631"
202,Wheelers Hill,53,"19,091"
203,Chelsea Heights,53,"5,182"
204,Edithvale,53,"5,466"
205,Bundoora,52,"25,652"
206,St Albans,52,"35,046"
207,Tecoma,52,"2,085"
208,Seaford,51,"16,049"
209,Hadfield,51,"5,355"
210,Eltham,51,"18,183"
211,Oakleigh South,50,"9,126"
212,Laverton,50,"4,074"
213,Mill Park,50,"30,550"
214,Lalor,50,"19,853"
215,Clarinda,50,"7,449"
216,Frankston North,50,"5,615"
217,Deer Park,49,"16,246"
218,Noble Park North,49,"7,380"
219,Templestowe Lower,49,"13,206"
220,Taylors Lakes,49,"16,094"
221,Keysborough,49,"19,894"
222,Campbellfield,49,"5,462"
223,Sunshine West,49,"16,759"
224,Croydon South,49,"4,552"
225,Ringwood North,48,"9,665"
226,Upper Ferntree Gully,48,"3,230"
227,Bayswater North,48,"8,457"
228,Yallambie,48,"4,133"
229,Thomastown,48,"20,299"
230,Noble Park,48,"28,395"
231,Rowville,47,"34,094"
232,Gowanbrae,47,"2,752"
233,Westmeadows,47,"5,514"
234,Aspendale Gardens,46,"6,581"
235,Dingley Village,46,"10,211"
236,Templestowe,46,"16,487"
237,Springvale South,46,"12,179"
238,Patterson Lakes,46,"7,579"
239,Hastings,46,"8,267"
240,Somerville,45,"10,120"
241,Keilor,45,"5,742"
242,Kilsyth,45,"10,054"
243,Research,44,"2,255"
244,Skye,44,"7,503"
245,The Basin,44,"4,238"
246,Beaconsfield,44,"5,882"
247,Point Cook,44,"32,431"
248,Hallam,44,"10,185"
249,Ardeer,44,"2,838"
250,Watsonia North,44,"3,858"
251,Kealba,43,"3,173"
252,Caroline Springs,43,"20,397"
253,Essendon West,43,"1,405"
254,Burnside,43,"4,393"
255,Upwey,43,"6,978"
256,Burnside Heights,43,"5,008"
257,Dandenong North,43,"21,933"
258,Altona Meadows,43,"18,721"
259,Hampton Park,43,"23,754"
260,Berwick,43,"44,690"
261,Donvale,43,"11,783"
262,Kilsyth South,43,"3,051"
263,Croydon Hills,43,"5,161"
264,Seabrook,43,"4,961"
265,Cranbourne,43,"18,620"
266,Epping,42,"26,340"
267,Mooroolbark,42,"20,695"
268,Keilor Downs,42,"10,347"
269,Diamond Creek,42,"12,838"
270,Coolaroo,42,"3,266"
271,St Helena,42,"2,828"
272,Belgrave Heights,42,"1,366"
273,Eltham North,41,"6,834"
274,Hoppers Crossing,41,"37,646"
275,Rosebud,41,"12,546"
276,Albanvale,41,"5,237"
277,Warrandyte,40,"5,273"
278,Narre Warren,40,"25,886"
279,Werribee,40,"37,777"
280,Meadow Heights,39,"14,841"
281,Craigieburn,39,"32,747"
282,Viewbank,39,"6,741"
283,Delahey,39,"8,439"
284,Taylors Hill,39,"11,804"
285,Hillside,39,"16,315"
286,Langwarrin,38,"21,342"
287,Sorrento,38,"1,439"
288,Frankston South,38,"17,610"
289,Kings Park,38,"8,308"
290,Croydon North,38,"7,692"
291,Lilydale,38,"15,681"
292,Endeavour Hills,37,"24,571"
293,Attwood,37,"3,274"
294,Mount Evelyn,37,"9,353"
295,Rosebud West,36,"4,602"
296,Roxburgh Park,35,"19,198"
297,Belgrave South,35,"1,492"
298,Narre Warren South,35,"28,557"
299,Derrimut,34,"5,996"
300,Lynbrook,34,"6,751"
301,Cranbourne North,33,"14,569"
302,McCrae,33,"2,535"
303,Mount Dandenong,33,"1,242"
304,Park Orchards,32,"3,727"
305,Mount Eliza,32,"17,274"
306,South Morang,31,"20,812"
307,Williams Landing,31,"3,225"
308,Tootgarook,31,"2,725"
309,Sassafras,31,"1,144"
310,Warranwood,30,"4,791"
311,North Warrandyte,30,"2,693"
312,Doreen,29,"10,973"
313,Montrose,29,"6,760"
314,Mount Martha,28,"16,857"
315,Emerald,28,"5,793"
316,Cranbourne West,28,"8,733"
317,Baxter,28,"2,124"
318,Cranbourne East,28,"8,220"
319,Selby,28,"1,650"
320,Waterways,27,"2,158"
321,Rye,26,"8,153"
322,Bangholme,25,801
323,Tyabb,24,"3,001"
324,Blairgowrie,22,"2,173"
325,Crib Point,21,"2,831"
326,Kallista,21,"1,555"
327,Truganina,20,"8,971"
328,Lyndhurst,19,"4,883"
329,Sandhurst,19,"3,067"
330,Safety Beach,19,"3,517"
331,Tarneit,18,"21,429"
332,Narre Warren North,18,"5,864"
333,Bittern,16,"3,381"
334,Ferny Creek,16,"1,539"
335,Junction Village,16,"1,146"
336,Ravenhall,15,911
337,Hmas Cerberus,13,"1,087"
338,Botanic Ridge,13,"1,724"
339,Kalorama,13,"1,216"
340,The Patch,13,"1,040"
341,Lysterfield South,13,925
342,Langwarrin South,12,"1,134"
343,Somers,10,"1,411"
344,Menzies Creek,5,646
345,St Andrews Beach,3,853
